species,Island_Endemicity,Flight_Ability
Phaethornis_pretrei,no,1
Phaethornis_ruber,no,1
Phaethornis_rupurumii,no,1
Phaethornis_squalidus,no,1
Phaethornis_striigularis,no,1
Phaethornis_stuarti,no,1
Phaethornis_subochraceus,no,1
Phaethornis_superciliosus,no,1
Phaethornis_syrmatophorus,no,1
Phaethornis_yaruqui,no,1
Phlogophilus_harterti,no,1
Phlogophilus_hemileucurus,no,1
Polyonymus_caroli,no,1
Polytmus_guainumbi,no,1
Polytmus_milleri,no,1
Polytmus_theresiae,no,1
Pterophanes_cyanopterus,no,1
Ramphodon_naevius,no,1
Ramphomicron_dorsale,no,1
Ramphomicron_microrhynchum,no,1
Rhodopis_vesper,no,1
Sappho_sparganura,no,1
Schistes_geoffroyi,no,1
Selasphorus_ardens,no,1
Selasphorus_flammula,no,1
Selasphorus_platycercus,no,1
Selasphorus_rufus,no,1
Selasphorus_sasin,no,1
Selasphorus_scintilla,no,1
Sephanoides_fernandensis,yes,1
Sephanoides_sephaniodes,no,1
Stellula_calliope,no,1
Stephanoxis_lalandi,no,1
Sternoclyta_cyanopectus,no,1
Taphrolesbia_griseiventris,no,1
Taphrospilus_hypostictus,no,1
Thalurania_colombica,no,1
Thalurania_fannyi,no,1
Thalurania_furcata,no,1
Thalurania_glaucopis,no,1
Thalurania_ridgwayi,no,1
Thalurania_watertonii,no,1
Thaumastura_cora,no,1
Threnetes_leucurus,no,1
Threnetes_niger,no,1
Threnetes_ruckeri,no,1
Tilmatura_dupontii,no,1
Topaza_pella,no,1
Topaza_pyra,no,1
Trochilus_polytmus,yes,1
Trochilus_scitulus,yes,1
Urochroa_bougueri,no,1
Urosticte_benjamini,no,1
Urosticte_ruficrissa,no,1
Apteryx_australis,no,0
Apteryx_haastii,no,0
Apteryx_mantelli,no,0
Apteryx_owenii,no,0
Aceros_cassidix,yes,1
Aceros_comatus,no,1
Aceros_corrugatus,no,1
Aceros_everetti,yes,1
Aceros_leucocephalus,yes,1
Aceros_narcondami,yes,1
Aceros_nipalensis,no,1
Aceros_plicatus,no,1
Aceros_subruficollis,no,1
Aceros_undulatus,no,1
Aceros_waldeni,yes,1
Anorrhinus_austeni,no,1
Anorrhinus_galeritus,no,1
Anorrhinus_tickelli,no,1
Anthracoceros_albirostris,no,1
Anthracoceros_coronatus,no,1
Anthracoceros_malayanus,no,1
Anthracoceros_marchei,no,1
Anthracoceros_montani,yes,1
Buceros_bicornis,no,1
Buceros_hydrocorax,yes,1
Buceros_rhinoceros,no,1
Bycanistes_albotibialis,no,1
Bycanistes_brevis,no,1
Bycanistes_bucinator,no,1
Bycanistes_cylindricus,no,1
