Species3,Family3,Order3,Avibase_id,Inferred,MainDiet,MainNiche,Pa,Pt,Ne,Se,Fr,In,Ap,Vt,Ca,PAG,PAS,PAD,PEL,PGR,NAE,NGL,SEL,SGR,FAE,FGL,FGR,IAE,ISA,ISS,ISG,IVS,IGE,IGG,APA,APL,APP,APG,APS,APD,VAE,VAS,VPE,VGE,VGG,CAQ,CGR
Aquila heliaca,Accipitridae,Accipitriformes,AVIBASE-469DCF57,0,Vt,Generalist,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,45,0,0,0,10
Aquila nipalensis,Accipitridae,Accipitriformes,AVIBASE-A635F565,0,Vt,VAS,0,0,0,0,0,0,0,90,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,9,0,10
Aquila pomarina,Accipitridae,Accipitriformes,AVIBASE-C2565B65,0,Vt,Generalist,0,0,0,0,0,20,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,40,24,0,16,0,0
Aquila rapax,Accipitridae,Accipitriformes,AVIBASE-F6D547B2,0,Vt,Generalist,0,0,0,0,0,10,10,70,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,3,1,0,9,0,0,0,0,42,21,0,7,0,10
Aquila verreauxii,Accipitridae,Accipitriformes,AVIBASE-14F13C32,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,20,0,0,0,0
Aquila wahlbergi,Accipitridae,Accipitriformes,AVIBASE-535F3C99,0,Vt,Generalist,0,0,0,0,0,10,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,9,27,54,0,0,0,0
Aviceda cuculoides,Accipitridae,Accipitriformes,AVIBASE-648936C0,0,Vt,Generalist,0,0,0,0,0,30,10,60,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,21,0,0,0,6,1,0,9,0,0,0,0,12,36,0,12,0,0
Aviceda jerdoni,Accipitridae,Accipitriformes,AVIBASE-0C89F1D6,0,Omnivore,Generalist,0,0,0,0,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0
Aviceda leuphotes,Accipitridae,Accipitriformes,AVIBASE-139A5705,0,In,Generalist,0,0,0,0,0,70,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,14,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0
Aviceda madagascariensis,Accipitridae,Accipitriformes,AVIBASE-C8E60C39,0,Vt,VPE,0,0,0,0,0,40,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0
Aviceda subcristata,Accipitridae,Accipitriformes,AVIBASE-010AC994,0,Omnivore,Generalist,0,0,0,0,10,40,0,50,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,28,8,0,0,4,0,0,0,0,0,0,0,10,30,5,5,0,0
Busarellus nigricollis,Accipitridae,Accipitriformes,AVIBASE-37148B74,0,Ap,APP,0,0,0,0,0,0,80,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,64,0,0,0,0,4,16,0,0,0,0
Butastur indicus,Accipitridae,Accipitriformes,AVIBASE-2E1D79FE,0,Vt,VPE,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0
Butastur liventer,Accipitridae,Accipitriformes,AVIBASE-DAB52BF2,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,70,0,0,0,0
Butastur rufipennis,Accipitridae,Accipitriformes,AVIBASE-45A1D850,0,In,ISG,0,0,0,0,0,80,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,72,0,0,0,0,0,0,0,0,0,2,0,18,0,0,0,0
Butastur teesa,Accipitridae,Accipitriformes,AVIBASE-868CD246,0,Vt,VPE,0,0,0,0,0,30,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,0,0,3,0,0,0,0,0,0,0,0,70,0,0,0,0
Buteo albicaudatus,Accipitridae,Accipitriformes,AVIBASE-72A83836,0,Vt,Generalist,0,0,0,0,0,10,0,80,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,40,40,0,0,0,10
Buteo albigula,Accipitridae,Accipitriformes,AVIBASE-B7DB09E8,0,Vt,Generalist,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,50,0,0,0,0
Buteo albonotatus,Accipitridae,Accipitriformes,AVIBASE-597D7DD6,0,Vt,VAS,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
