index,Family,Order,Eigenvalues,Island_Endemicity,Flight_Ability,seabird,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Tail.Length,Mass,Centroid.Latitude,Centroid.Longitude,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,In2,In2_pred,In2_prob,Ap2,Ap2_pred,Ap2_prob,Vt2,Vt2_pred,Vt2_prob,Ne2,Ne2_pred,Ne2_prob,Fr2,Fr2_pred,Fr2_prob,Se2,Se2_pred,Se2_prob,Pa2,Pa2_pred,Pa2_prob,Pl2,Pl2_pred,Pl2_prob
541,163,8,-2.45976560011422,0,1.0,0,3.8258113086090804,3.435598808379488,1.5040773967762742,1.7715567619105355,3.6828613817883733,4.992674968719263,4.3357208817973705,4.095177548525992,4.513602992462601,-12.19,-58.14,-62.0895981433071,38.6425608265992,10.1349116282661,-46.0248057364105,14.0343416505666,-19.648253541432,-7.26785704991241,23.3894776949873,-5.61681118900143,30.4058268966497,-0.612106069673201,0.23154209093504,,0.0,0.876,,100.0,0.856,,0.0,0.99,,0.0,0.999,,0.0,0.984,,0.0,0.968,,0.0,1.0,,0.0,0.99
542,184,24,-17.1554097487105,1,1.0,0,3.4058531931983493,2.919930560137709,1.9110228900548727,2.151762203259462,3.686877451443263,4.861748513388538,3.3357695763397,4.859812404361672,4.634923144137439,19.93,-78.98,72.7903074320262,-16.1089611168919,10.6118017165132,-0.370819740973972,-0.0714137742711727,-0.00759176348664656,-0.0313965411375126,0.410447321977296,-0.0677956401936855,0.0104366693322977,0.0534346402914463,0.0374474248330104,30.0,60.0,0.586,0.0,0.0,0.999,10.0,0.0,0.723,0.0,0.0,0.997,30.0,40.0,0.556,30.0,0.0,0.875,0.0,0.0,1.0,0.0,0.0,0.985
543,184,24,-17.1138588499537,1,1.0,0,3.1970391302590264,2.6892071133007303,1.8164520818184267,1.9685099809725544,3.4741380060638702,4.789656065611423,3.4127965175055075,4.566845071666424,4.279301532151069,28.0,-15.59,72.641407048671,-16.0679665344524,10.5598383725386,-0.369935973868482,-0.0723572218386495,-0.0057616216925372,-0.0361018860346779,0.41304446247996,-0.0659543902614568,0.00967946760656495,0.0564483873347287,0.0389883494651795,,60.0,0.502,,0.0,0.993,,0.0,0.911,,0.0,0.998,,40.0,0.726,,0.0,0.531,,0.0,1.0,,0.0,0.923
544,184,24,-17.1169158877306,1,1.0,0,3.202339856228101,2.695977619867941,1.81319474994812,1.9740810260220096,3.512440560478137,4.7485776492828204,3.248822901236153,4.557554332046428,4.294697025235496,38.43,-28.29,72.7553323253853,-16.0993315560821,10.599595475214,-0.370612114088789,-0.0716353646903452,-0.00716189088836464,-0.0325017471194519,0.411057279327076,-0.0673631396637309,0.0102588099911909,0.0541424968920836,0.0378093459387907,,54.55,0.619,,0.0,0.992,,0.0,0.839,,0.0,0.998,,36.36,0.515,,9.09,0.418,,0.0,1.0,,0.0,0.942
545,184,24,-17.1123267958829,1,1.0,0,3.4314032237192214,2.917770732084279,2.0014800002101243,2.190535589185423,3.6985822295753215,5.019462882698935,3.559055466277736,4.764820003517629,4.969813299576001,32.76,-16.93,72.6395425293279,-16.0674543030476,10.5591894874376,-0.369925023996305,-0.0723690809346176,-0.00573868070821211,-0.0361608924641331,0.413077229622209,-0.065931365539959,0.00966998814243429,0.0564862448284819,0.0390077206732243,,60.0,0.517,,0.0,0.987,,0.0,0.842,,0.0,0.997,,40.0,0.452,,0.0,0.517,,0.0,1.0,,0.0,0.986
546,184,24,-17.1152136555874,1,1.0,0,3.2315945972759756,2.727199019940971,1.8421356765531218,2.0082140323914683,3.5115454388310208,4.822778445803624,3.393501175027685,4.570475216191205,4.373742415086184,38.436955,-28.2947,72.7383637867487,-16.0946600612002,10.5936741222235,-0.370511422788693,-0.0717428875406054,-0.00695332524770234,-0.033037979726126,0.411353293057465,-0.067153318565576,0.010172520461329,0.0544859628944914,0.037984962390296,,50.0,0.467,,0.0,0.997,,0.0,0.84,,0.0,0.998,,33.33,0.343,,16.669999999999998,0.391,,0.0,1.0,,0.0,0.962
547,112,24,-9.0707016779716,1,1.0,0,3.2371085931292605,2.642622395779755,2.1150499691472033,2.3758355547336385,3.6622787723167574,4.804840381116659,3.11529150861163,4.762173934797756,4.687303015526614,-41.43,174.07,54.752134256362,-10.273321949462,2.49846241060878,-0.159810006660906,-0.170042296890955,0.239227033868162,-0.654430643920189,0.587610885833587,0.330062921797263,-0.378128969017856,3.60405400237379,2.83260422517329,25.0,10.0,0.614,0.0,0.0,1.0,0.0,0.0,0.868,0.0,0.0,0.707,25.0,80.0,0.226,25.0,10.0,0.87,0.0,0.0,1.0,25.0,0.0,0.711
548,112,24,-9.07067801881759,1,1.0,0,3.3975239762958465,2.8524391037275145,2.263844264677615,2.6093342281630525,3.701548857214599,4.658710952916121,3.242982900211434,4.762173934797756,4.909709375506295,-41.43,174.07,54.7521342563613,-10.2733219494619,2.49846241060867,-0.15981000666091,-0.170042296890961,0.23922703386817,-0.65443064392021,0.587610885833613,0.330062921797261,-0.378128969017843,3.60405400237363,2.83260422517315,50.0,10.0,0.57,0.0,0.0,1.0,0.0,0.0,0.848,0.0,0.0,0.518,0.0,80.0,0.337,50.0,10.0,0.871,0.0,0.0,1.0,0.0,0.0,0.923
549,185,8,-2.52965927395746,1,1.0,0,2.725890119230541,2.1598687907924505,1.451613827240533,1.7732559976634952,3.108167702883779,4.449334754429963,3.267284964075888,3.5254777821724925,4.130676491469491,-8.53,119.39,-62.4091443533373,37.2108726661714,9.92537716476853,-44.9192972014732,13.6355670181322,-19.1419952067074,-7.35107940711134,23.2391821506711,-5.59612652996363,32.0113614576626,-0.638777338828452,0.234389027409841,,50.0,0.572,,0.0,1.0,,0.0,0.997,,0.0,0.998,,0.0,0.992,,50.0,0.719,,0.0,1.0,,0.0,0.641
550,128,16,-0.703868480859665,0,1.0,0,3.2472688993694185,2.620311286794203,2.300583090323373,2.359910159613315,3.8004208288468435,5.365555365813714,4.3056854014171595,4.710970604874303,6.645351013714625,49.06,-103.04,-137.818474274069,-92.2874498320143,-0.475759252095221,6.65591881672451,49.9373901224883,-17.967760486013,27.5121423946403,-31.6809096914283,-1.05928775567167,0.435795528149407,-0.964843488729974,0.50205045428695,,20.0,0.51,,0.0,1.0,,0.0,0.996,,0.0,0.997,,0.0,0.36,,0.0,0.437,,0.0,1.0,,80.0,0.726
